sowing;sowD;harvY;harvD;till;crop;Orgdat;Type;OrgN;NDat1;N1;Ndat2;N2;Ndat3;N3
12.08.61;224;1962;90;15.06.61;WRC;--------;---;.0;----------;.0;----------;.0;----------;.0
20.04.62;110;1962;288;01.04.62;SM;--------;---;.0;20.04.62;90.0;22.07.62;95.1;----------;.0
20.10.62;293;1963;243;16.10.62;WW;16.10.62;RM;240.0;----------;.0;30.04.63;55.0;----------;.0
10.09.63;253;1964;225;01.09.63;WRA;01.09.63;RM;240.0;----------;.0;29.02.64;63.8;----------;.0
01.09.64;245;1965;258;14.08.64;WW;--------;---;.0;----------;.0;06.04.65;63.0;27.05.65;40.7
skipped;0;0;0;16.09.65;000;15.09.65;RM;240.0;----------;.0;----------;.0;27.05.65;.0
28.04.66;118;1966;258;15.02.66;SG;--------;---;.0;28.04.66;75.3;----------;.0;----------;.0
skipped;0;0;0;16.09.66;000;15.09.66;RM;240.0;----------;.0;----------;.0;----------;.0
10.05.67;130;1967;288;15.03.67;SM;--------;---;.0;10.05.67;78.8;10.07.67;76.0;----------;.0
20.10.67;293;1968;227;16.10.67;WW;16.10.67;RM;240.0;20.10.67;13.0;16.04.68;57.6;----------;.0
26.08.68;239;1969;229;15.08.68;WRA;15.08.68;RM;240.0;----------;.0;01.03.69;67.8;22.04.69;7.5
01.09.69;244;1970;227;18.08.69;WW;--------;---;.0;01.09.69;24.6;04.05.70;67.1;31.05.70;47.0
22.08.70;234;1971;90;17.08.70;WRC;16.08.70;RM;240.0;----------;.0;----------;.0;----------;.0
20.04.71;110;1971;244;01.04.71;SG;--------;---;.0;20.04.71;64.3;----------;.0;----------;.0
skipped;0;0;0;02.09.71;000;01.09.71;RM;240.0;----------;.0;----------;.0;----------;.0
03.05.72;124;1972;289;15.02.72;SM;--------;---;.0;03.05.72;66.5;15.07.72;88.9;----------;.0
20.10.72;294;1973;223;16.10.72;WW;16.10.72;RM;240.0;----------;.0;27.03.73;39.3;----------;.0
26.08.73;238;1974;227;12.08.73;WRA;12.08.73;RM;240.0;----------;.0;01.03.74;50.3;----------;.0
02.09.74;245;1975;220;17.08.74;WW;--------;---;.0;02.09.74;3.8;01.03.75;56.1;21.05.75;9.4
18.08.75;230;1976;91;09.08.75;WRC;09.08.75;RM;240.0;----------;.0;----------;.0;----------;.0
20.04.76;111;1976;232;01.04.76;SG;--------;---;.0;20.04.76;66.2;----------;.0;----------;.0
26.08.76;239;1977;90;20.08.76;WRC;20.08.76;RM;240.0;----------;.0;----------;.0;----------;.0
04.05.77;124;1977;288;01.04.77;SM;--------;---;.0;04.05.77;71.3;09.07.77;7.4;----------;.0
20.10.77;293;1978;236;16.10.77;WW;16.10.77;RM;240.0;----------;.0;22.04.78;52.8;----------;.0
29.08.78;241;1979;231;26.08.78;WRA;25.08.78;RM;240.0;----------;.0;01.03.79;61.4;20.04.79;26.8
01.09.79;244;1980;230;20.08.79;WW;--------;---;.0;----------;.0;16.04.80;64.8;26.05.80;42.5
01.09.80;245;1981;90;18.08.80;WRC;18.08.80;RM;240.0;----------;.0;----------;.0;----------;.0
12.04.81;102;1981;245;01.04.81;SG;--------;---;.0;12.04.81;73.2;----------;.0;----------;.0
skipped;0;0;0;03.09.81;000;02.09.81;RM;240.0;----------;.0;----------;.0;----------;.0
10.05.82;130;1982;288;15.02.82;SM;--------;---;.0;10.05.82;56.4;10.07.82;78.5;----------;.0
20.10.82;293;1983;223;16.10.82;WW;16.10.82;RM;240.0;----------;.0;09.04.83;54.4;----------;.0
26.08.83;238;1984;224;12.08.83;WRA;12.08.83;RM;240.0;----------;.0;29.02.84;65.4;----------;.0
02.09.84;246;1985;236;12.08.84;WW;--------;---;.0;----------;.0;21.04.85;65.5;29.05.85;8.5
30.08.85;242;1986;90;26.08.85;WRC;25.08.85;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.86;121;1986;249;01.04.86;SG;--------;---;.0;01.05.86;57.0;----------;.0;----------;.0
skipped;0;0;0;07.09.86;000;06.09.86;RM;240.0;----------;.0;----------;.0;----------;.0
25.04.87;115;1987;288;15.02.87;SM;--------;---;.0;25.04.87;66.1;22.07.87;89.1;----------;.0
20.10.87;293;1988;221;16.10.87;WW;16.10.87;RM;240.0;----------;.0;17.04.88;52.7;----------;.0
27.08.88;240;1989;222;09.08.88;WRA;09.08.88;RM;240.0;----------;.0;01.03.89;6.6;27.02.89;19.2
05.09.89;248;1990;219;11.08.89;WW;--------;---;.0;05.09.89;3.6;25.02.90;61.1;07.05.90;38.4
14.04.91;104;1991;247;09.08.90;SG;--------;---;.0;14.04.91;48.9;----------;.0;----------;.0
07.05.92;128;1992;289;05.09.91;SM;--------;---;.0;07.05.92;76.4;27.06.92;57.5;----------;.0
20.10.92;294;1993;230;16.10.92;WW;--------;---;.0;----------;.0;18.04.93;52.9;----------;.0
08.09.93;251;1994;214;20.08.93;WRA;--------;---;.0;08.09.93;.1;01.03.94;67.5;01.04.94;16.7
01.09.94;244;1995;237;03.08.94;WW;--------;---;.0;01.09.94;21.8;18.03.95;64.4;25.05.95;52.2
20.04.96;111;1996;249;26.08.95;SG;--------;---;.0;20.04.96;54.9;----------;.0;----------;.0
03.05.97;123;1997;288;07.09.96;SM;--------;---;.0;03.05.97;75.9;14.07.97;93.3;----------;.0
20.10.97;293;1998;230;16.10.97;WW;--------;---;.0;20.10.97;21.4;06.04.98;62.0;----------;.0
26.08.98;238;1999;216;20.08.98;WRA;--------;---;.0;26.08.98;21.2;01.03.99;67.9;28.03.99;26.5
03.09.99;246;2000;226;05.08.99;WW;--------;---;.0;03.09.99;24.3;10.03.00;68.3;10.05.00;59.9
01.05.01;121;2001;228;14.08.00;SG;--------;---;.0;01.05.01;79.4;----------;.0;----------;.0
23.04.02;113;2002;288;17.08.01;SM;--------;---;.0;23.04.02;85.4;23.06.02;95.7;----------;.0
20.10.02;293;2003;212;16.10.02;WW;--------;---;.0;20.10.02;37.4;14.04.03;60.8;22.05.03;3.2
26.08.03;238;2004;212;02.08.03;WRA;--------;---;.0;26.08.03;18.1;29.02.04;68.4;18.03.04;25.0
04.09.04;248;2005;228;31.07.04;WW;--------;---;.0;04.09.04;26.6;01.04.05;68.3;21.05.05;65.4
27.04.06;117;2006;218;17.08.05;SG;--------;---;.0;27.04.06;84.5;----------;.0;----------;.0
13.04.07;103;2007;288;08.08.06;SM;--------;---;.0;13.04.07;90.8;24.06.07;92.1;----------;.0
20.10.07;293;2008;230;16.10.07;WW;--------;---;.0;20.10.07;36.6;30.03.08;66.7;15.05.08;9.2
31.08.08;244;2009;217;18.08.08;WRA;--------;---;.0;31.08.08;34.2;01.03.09;69.1;21.03.09;22.9
08.09.09;251;2010;216;06.08.09;WW;--------;---;.0;08.09.09;29.4;06.04.10;68.5;23.05.10;64.4
20.04.11;110;2011;222;05.08.10;SG;--------;---;.0;20.04.11;83.1;----------;.0;----------;.0
21.04.12;112;2012;289;11.08.11;SM;--------;---;.0;21.04.12;93.1;20.06.12;82.6;----------;.0
20.10.12;294;2013;213;16.10.12;WW;--------;---;.0;20.10.12;37.0;21.03.13;67.6;11.05.13;21.5
29.08.13;241;2014;208;02.08.13;WRA;--------;---;.0;29.08.13;29.8;01.03.14;68.5;26.03.14;34.4
06.09.14;249;2015;206;28.07.14;WW;--------;---;.0;06.09.14;30.6;20.03.15;68.4;13.05.15;58.8
19.04.16;110;2016;214;27.07.15;SG;--------;---;.0;19.04.16;82.7;----------;.0;----------;.0
03.05.17;123;2017;288;02.08.16;SM;--------;---;.0;03.05.17;90.4;27.06.17;95.2;----------;.0
20.10.17;293;2018;213;16.10.17;WW;--------;---;.0;20.10.17;36.7;22.03.18;66.7;22.05.18;11.4
26.08.18;238;2019;197;02.08.18;WRA;--------;---;.0;26.08.18;31.6;01.03.19;67.7;04.03.19;26.1
01.09.19;244;2020;217;18.07.19;WW;--------;---;.0;01.09.19;21.2;04.04.20;68.3;21.05.20;65.7
19.04.21;109;2021;218;05.08.20;SG;--------;---;.0;19.04.21;80.2;----------;.0;----------;.0
20.04.22;110;2022;288;08.08.21;SM;--------;---;.0;20.04.22;91.8;15.06.22;93.8;----------;.0
20.10.22;293;2023;211;16.10.22;WW;--------;---;.0;20.10.22;36.5;16.04.23;67.3;21.05.23;13.9
26.08.23;238;2024;209;31.07.23;WRA;--------;---;.0;26.08.23;30.5;29.02.24;68.5;14.03.24;54.4
01.09.24;245;2025;216;28.07.24;WW;--------;---;.0;01.09.24;27.6;28.03.25;68.4;22.05.25;65.4
25.04.26;115;2026;224;05.08.25;SG;--------;---;.0;25.04.26;82.7;----------;.0;----------;.0
08.05.27;128;2027;288;14.08.26;SM;--------;---;.0;08.05.27;93.4;02.07.27;85.5;----------;.0
20.10.27;293;2028;206;16.10.27;WW;--------;---;.0;20.10.27;37.3;11.04.28;67.3;21.05.28;21.8
26.08.28;239;2029;200;25.07.28;WRA;--------;---;.0;26.08.28;31.4;01.03.29;68.4;16.03.29;54.9
12.09.29;255;2030;210;21.07.29;WW;--------;---;.0;12.09.29;16.3;29.03.30;68.4;14.05.30;63.9
01.05.31;121;2031;216;30.07.30;SG;--------;---;.0;01.05.31;84.3;----------;.0;----------;.0
16.04.32;107;2032;289;05.08.31;SM;--------;---;.0;16.04.32;93.7;22.06.32;90.9;----------;.0
20.10.32;294;2033;211;16.10.32;WW;--------;---;.0;20.10.32;36.7;18.03.33;68.0;08.05.33;23.0
29.08.33;241;2034;187;31.07.33;WRA;--------;---;.0;29.08.33;32.1;01.03.34;36.5;17.02.34;67.0
09.09.34;252;2035;207;07.07.34;WW;--------;---;.0;09.09.34;28.4;21.03.35;68.3;15.05.35;65.6
20.04.36;111;2036;204;27.07.35;SG;--------;---;.0;20.04.36;81.5;----------;.0;----------;.0
27.04.37;117;2037;288;24.07.36;SM;--------;---;.0;27.04.37;91.0;27.06.37;91.8;----------;.0
20.10.37;293;2038;202;16.10.37;WW;--------;---;.0;20.10.37;36.9;30.03.38;67.9;12.05.38;21.7
31.08.38;243;2039;185;22.07.38;WRA;--------;---;.0;31.08.38;26.1;01.03.39;26.3;25.02.39;67.1
23.09.39;266;2040;199;06.07.39;WW;--------;---;.0;23.09.39;26.1;21.02.40;68.3;07.05.40;49.7
09.04.41;99;2041;213;18.07.40;SG;--------;---;.0;09.04.41;84.0;----------;.0;----------;.0
27.04.42;117;2042;288;02.08.41;SM;--------;---;.0;27.04.42;96.2;24.06.42;85.2;----------;.0
20.10.42;293;2043;207;16.10.42;WW;--------;---;.0;20.10.42;36.3;03.04.43;67.1;12.05.43;13.2
26.08.43;238;2044;200;27.07.43;WRA;--------;---;.0;26.08.43;27.8;29.02.44;55.8;03.02.44;67.2
10.09.44;254;2045;193;19.07.44;WW;--------;---;.0;10.09.44;22.3;01.03.45;68.4;30.04.45;61.3
10.04.46;100;2046;203;13.07.45;SG;--------;---;.0;10.04.46;82.4;----------;.0;----------;.0
10.05.47;130;2047;288;24.07.46;SM;--------;---;.0;10.05.47;90.8;27.06.47;84.3;----------;.0
20.10.47;293;2048;203;16.10.47;WW;--------;---;.0;20.10.47;37.4;12.03.48;67.6;12.05.48;47.6
28.08.48;241;2049;187;22.07.48;WRA;--------;---;.0;28.08.48;30.4;01.03.49;69.2;16.03.49;64.2
01.09.49;244;2050;193;07.07.49;WW;--------;---;.0;01.09.49;18.7;28.02.50;68.4;05.05.50;61.8
18.04.51;108;2051;200;13.07.50;SG;--------;---;.0;18.04.51;80.7;----------;.0;----------;.0
22.04.52;113;2052;289;21.07.51;SM;--------;---;.0;22.04.52;95.2;15.06.52;83.5;----------;.0
20.10.52;294;2053;196;16.10.52;WW;--------;---;.0;20.10.52;36.5;12.03.53;68.2;09.05.53;24.8
26.08.53;238;2054;184;16.07.53;WRA;--------;---;.0;26.08.53;31.2;01.03.54;66.3;09.02.54;67.5
08.09.54;251;2055;191;04.07.54;WW;--------;---;.0;08.09.54;26.0;17.03.55;68.4;03.05.55;64.2
01.05.56;122;2056;205;12.07.55;SG;--------;---;.0;01.05.56;84.7;----------;.0;----------;.0
05.04.57;95;2057;276;24.07.56;SM;--------;---;.0;05.04.57;94.1;03.06.57;81.4;----------;.0
14.10.57;287;2058;207;04.10.57;WW;--------;---;.0;14.10.57;34.9;21.03.58;67.3;10.05.58;34.7
28.08.58;240;2059;179;27.07.58;WRA;--------;---;.0;28.08.58;26.3;01.03.59;29.6;22.02.59;67.6
18.09.59;261;2060;192;30.06.59;WW;--------;---;.0;18.09.59;5.3;29.02.60;68.7;25.04.60;64.2
22.04.61;112;2061;201;12.07.60;SG;--------;---;.0;22.04.61;82.5;----------;.0;----------;.0
16.04.62;106;2062;288;21.07.61;SM;--------;---;.0;16.04.62;94.7;16.06.62;91.9;----------;.0
20.10.62;293;2063;199;16.10.62;WW;--------;---;.0;20.10.62;37.3;17.03.63;68.2;06.05.63;43.1
26.08.63;238;2064;175;19.07.63;WRA;--------;---;.0;26.08.63;30.9;29.02.64;58.4;06.02.64;67.0
18.09.64;262;2065;198;24.06.64;WW;--------;---;.0;18.09.64;30.0;20.03.65;68.4;13.05.65;64.5
18.04.66;108;2066;203;18.07.65;SG;--------;---;.0;18.04.66;84.6;----------;.0;----------;.0
09.04.67;99;2067;288;24.07.66;SM;--------;---;.0;09.04.67;94.0;12.06.67;85.9;----------;.0
20.10.67;293;2068;193;16.10.67;WW;--------;---;.0;20.10.67;36.7;17.03.68;68.2;07.05.68;50.8
29.08.68;242;2069;177;12.07.68;WRA;--------;---;.0;29.08.68;30.9;01.03.69;58.2;05.02.69;67.2
28.09.69;271;2070;192;27.06.69;WW;--------;---;.0;28.09.69;8.8;22.02.70;68.7;02.05.70;54.6
08.04.71;98;2071;199;12.07.70;SG;--------;---;.0;08.04.71;83.1;----------;.0;----------;.0
21.04.72;112;2072;268;19.07.71;SM;--------;---;.0;21.04.72;92.4;02.06.72;83.4;----------;.0
01.10.72;275;2073;184;25.09.72;WW;--------;---;.0;01.10.72;37.1;05.03.73;68.0;02.05.73;58.2
26.08.73;238;2074;175;04.07.73;WRA;--------;---;.0;26.08.73;25.0;01.03.74;67.8;06.03.74;28.4
05.09.74;248;2075;186;25.06.74;WW;--------;---;.0;05.09.74;4.0;21.02.75;68.5;27.04.75;62.9
18.03.76;78;2076;185;06.07.75;SG;--------;---;.0;18.03.76;82.7;----------;.0;----------;.0
05.04.77;95;2077;252;04.07.76;SM;--------;---;.0;05.04.77;94.6;29.05.77;88.8;----------;.0
14.09.77;257;2078;191;10.09.77;WW;--------;---;.0;14.09.77;36.7;24.02.78;68.4;30.04.78;64.0
31.08.78;243;2079;168;12.07.78;WRA;--------;---;.0;31.08.78;21.3;01.03.79;67.6;03.03.79;29.7
24.09.79;267;2080;192;18.06.79;WW;--------;---;.0;24.09.79;20.7;09.03.80;68.4;30.04.80;65.4
