sowing;sowD;harvY;harvD;till;crop;Orgdat;Type;OrgN;NDat1;N1;Ndat2;N2;Ndat3;N3
14.08.61;226;1962;41;11.08.61;WRC;--------;---;.0;----------;.0;----------;.0;----------;.0
08.04.62;98;1962;211;01.03.62;SG;--------;---;.0;08.04.62;77.1;----------;.0;----------;.0
06.08.62;218;1963;41;31.07.62;WRC;31.07.62;RM;240.0;----------;.0;----------;.0;----------;.0
11.04.63;101;1963;258;15.03.63;SM;--------;---;.0;11.04.63;78.2;02.06.63;77.3;----------;.0
02.10.63;275;1964;197;16.09.63;WW;16.09.63;RM;240.0;----------;.0;09.04.64;37.2;----------;.0
26.08.64;239;1965;204;16.07.64;WRA;16.07.64;RM;240.0;----------;.0;01.03.65;62.9;02.04.65;5.4
01.10.65;274;1966;198;24.07.65;WW;--------;---;.0;----------;.0;11.03.66;53.4;----------;.0
11.08.66;223;1967;41;18.07.66;WRC;18.07.66;RM;240.0;----------;.0;----------;.0;----------;.0
01.04.67;91;1967;204;15.02.67;SG;--------;---;.0;01.04.67;61.4;----------;.0;----------;.0
08.08.67;220;1968;41;24.07.67;WRC;24.07.67;RM;240.0;----------;.0;----------;.0;----------;.0
05.04.68;96;1968;259;15.03.68;SM;--------;---;.0;05.04.68;50.9;02.06.68;48.5;----------;.0
01.10.68;275;1969;198;16.09.68;WW;16.09.68;RM;240.0;----------;.0;11.04.69;33.9;----------;.0
30.08.69;242;1970;211;18.07.69;WRA;18.07.69;RM;240.0;----------;.0;01.03.70;45.8;----------;.0
01.10.70;274;1971;196;31.07.70;WW;--------;---;.0;----------;.0;23.03.71;29.0;----------;.0
14.08.71;226;1972;41;16.07.71;WRC;16.07.71;RM;240.0;----------;.0;----------;.0;----------;.0
19.03.72;79;1972;201;15.02.72;SG;--------;---;.0;----------;.0;----------;.0;----------;.0
06.08.72;219;1973;41;21.07.72;WRC;20.07.72;RM;240.0;----------;.0;----------;.0;----------;.0
06.04.73;96;1973;258;15.02.73;SM;--------;---;.0;----------;.0;10.06.73;26.8;----------;.0
03.10.73;276;1974;200;16.09.73;WW;16.09.73;RM;240.0;----------;.0;----------;.0;----------;.0
28.08.74;240;1975;190;21.07.74;WRA;20.07.74;RM;240.0;----------;.0;----------;.0;----------;.0
03.10.75;276;1976;210;10.07.75;WW;--------;---;.0;----------;.0;03.04.76;9.8;----------;.0
09.08.76;222;1977;41;30.07.76;WRC;29.07.76;RM;240.0;----------;.0;----------;.0;----------;.0
13.03.77;72;1977;196;15.02.77;SG;--------;---;.0;13.03.77;66.8;----------;.0;----------;.0
06.08.77;218;1978;41;16.07.77;WRC;16.07.77;RM;240.0;----------;.0;----------;.0;----------;.0
24.04.78;114;1978;258;15.02.78;SM;--------;---;.0;----------;.0;14.06.78;50.6;----------;.0
02.10.78;275;1979;200;16.09.78;WW;16.09.78;RM;240.0;----------;.0;26.03.79;8.2;----------;.0
28.08.79;240;1980;206;21.07.79;WRA;20.07.79;RM;240.0;----------;.0;29.02.80;44.3;----------;.0
01.10.80;275;1981;193;25.07.80;WW;--------;---;.0;----------;.0;23.03.81;33.7;----------;.0
06.08.81;218;1982;41;13.07.81;WRC;13.07.81;RM;240.0;----------;.0;----------;.0;----------;.0
28.03.82;87;1982;210;15.02.82;SG;--------;---;.0;28.03.82;55.3;----------;.0;----------;.0
06.08.82;218;1983;41;30.07.82;WRC;30.07.82;RM;240.0;----------;.0;----------;.0;----------;.0
20.04.83;110;1983;258;15.02.83;SM;--------;---;.0;20.04.83;16.1;02.06.83;47.2;----------;.0
01.10.83;274;1984;210;16.09.83;WW;16.09.83;RM;240.0;----------;.0;----------;.0;----------;.0
26.08.84;239;1985;205;30.07.84;WRA;29.07.84;RM;240.0;----------;.0;01.03.85;42.7;----------;.0
01.10.85;274;1986;193;25.07.85;WW;--------;---;.0;----------;.0;04.04.86;47.6;----------;.0
15.08.86;227;1987;41;13.07.86;WRC;13.07.86;RM;240.0;----------;.0;----------;.0;----------;.0
29.03.87;88;1987;210;15.02.87;SG;--------;---;.0;29.03.87;44.8;----------;.0;----------;.0
08.08.87;220;1988;41;30.07.87;WRC;30.07.87;RM;240.0;----------;.0;----------;.0;----------;.0
06.04.88;97;1988;259;15.02.88;SM;--------;---;.0;06.04.88;63.4;05.06.88;25.9;----------;.0
01.10.88;275;1989;193;16.09.88;WW;16.09.88;RM;240.0;----------;.0;----------;.0;----------;.0
01.09.89;244;1990;188;13.07.89;WRA;13.07.89;RM;240.0;----------;.0;----------;.0;----------;.0
03.10.90;276;1991;202;16.07.90;WW;--------;---;.0;----------;.0;23.03.91;2.7;----------;.0
05.03.92;65;1992;195;22.07.91;SG;--------;---;.0;----------;.0;----------;.0;----------;.0
21.04.93;111;1993;258;15.07.92;SM;--------;---;.0;----------;.0;30.05.93;22.5;----------;.0
01.10.93;274;1994;189;16.09.93;WW;--------;---;.0;----------;.0;13.03.94;54.2;----------;.0
29.08.94;241;1995;191;09.07.94;WRA;--------;---;.0;----------;.0;01.03.95;58.5;03.03.95;11.2
03.10.95;276;1996;199;12.07.95;WW;--------;---;.0;03.10.95;19.2;18.04.96;65.8;14.05.96;.4
14.03.97;73;1997;209;18.07.96;SG;--------;---;.0;14.03.97;66.7;----------;.0;----------;.0
05.04.98;95;1998;258;30.07.97;SM;--------;---;.0;05.04.98;77.2;03.06.98;85.1;----------;.0
04.10.98;277;1999;196;16.09.98;WW;--------;---;.0;04.10.98;33.1;27.03.99;62.6;05.05.99;13.0
26.08.99;238;2000;170;16.07.99;WRA;--------;---;.0;26.08.99;24.2;29.02.00;67.2;08.03.00;41.0
01.10.00;275;2001;195;19.06.00;WW;--------;---;.0;01.10.00;24.9;19.03.01;67.1;07.05.01;54.6
15.03.02;74;2002;191;15.07.01;SG;--------;---;.0;15.03.02;75.2;----------;.0;----------;.0
23.04.03;113;2003;242;12.07.02;SM;--------;---;.0;23.04.03;84.2;01.06.03;62.8;----------;.0
01.10.03;274;2004;201;01.09.03;WW;--------;---;.0;01.10.03;9.0;22.03.04;64.2;06.05.04;18.2
26.08.04;239;2005;196;21.07.04;WRA;--------;---;.0;26.08.04;21.8;01.03.05;69.2;02.04.05;44.8
01.10.05;274;2006;192;16.07.05;WW;--------;---;.0;01.10.05;27.7;10.04.06;67.3;11.05.06;26.4
14.03.07;73;2007;184;12.07.06;SG;--------;---;.0;14.03.07;74.8;----------;.0;----------;.0
11.04.08;102;2008;259;04.07.07;SM;--------;---;.0;11.04.08;85.9;05.06.08;86.6;----------;.0
01.10.08;275;2009;193;16.09.08;WW;--------;---;.0;01.10.08;27.3;30.03.09;67.5;01.05.09;31.4
26.08.09;238;2010;185;13.07.09;WRA;--------;---;.0;26.08.09;29.3;01.03.10;68.5;23.03.10;65.2
01.10.10;274;2011;180;06.07.10;WW;--------;---;.0;01.10.10;34.5;16.03.11;66.0;05.05.11;25.8
24.03.12;84;2012;188;30.06.11;SG;--------;---;.0;24.03.12;76.2;----------;.0;----------;.0
07.04.13;97;2013;256;07.07.12;SM;--------;---;.0;07.04.13;86.0;31.05.13;92.3;----------;.0
01.10.13;274;2014;189;14.09.13;WW;--------;---;.0;01.10.13;31.9;25.03.14;64.3;06.05.14;40.2
30.08.14;242;2015;176;09.07.14;WRA;--------;---;.0;30.08.14;33.8;01.03.15;67.7;07.03.15;32.8
01.10.15;274;2016;176;27.06.15;WW;--------;---;.0;01.10.15;32.0;17.03.16;66.8;01.05.16;51.5
21.04.17;111;2017;216;25.06.16;SG;--------;---;.0;21.04.17;78.4;----------;.0;----------;.0
05.04.18;95;2018;248;05.08.17;SM;--------;---;.0;05.04.18;89.4;23.05.18;95.4;----------;.0
04.10.18;277;2019;179;07.09.18;WW;--------;---;.0;04.10.18;27.3;06.03.19;64.3;29.04.19;42.2
26.08.19;238;2020;174;30.06.19;WRA;--------;---;.0;26.08.19;30.0;29.02.20;49.8;07.02.20;66.8
02.10.20;276;2021;179;24.06.20;WW;--------;---;.0;02.10.20;33.3;03.04.21;67.1;08.05.21;52.8
24.03.22;83;2022;188;30.06.21;SG;--------;---;.0;24.03.22;73.6;----------;.0;----------;.0
12.04.23;102;2023;243;09.07.22;SM;--------;---;.0;12.04.23;84.3;28.05.23;74.3;----------;.0
01.10.23;274;2024;184;01.09.23;WW;--------;---;.0;01.10.23;29.5;15.03.24;65.7;05.05.24;56.1
26.08.24;239;2025;179;03.07.24;WRA;--------;---;.0;26.08.24;17.7;01.03.25;67.1;11.03.25;31.1
02.10.25;275;2026;188;30.06.25;WW;--------;---;.0;02.10.25;26.5;20.03.26;67.8;11.05.26;60.1
29.03.27;88;2027;192;09.07.26;SG;--------;---;.0;29.03.27;80.7;----------;.0;----------;.0
05.04.28;96;2028;242;12.07.27;SM;--------;---;.0;05.04.28;88.5;23.05.28;89.5;----------;.0
04.10.28;278;2029;182;30.08.28;WW;--------;---;.0;04.10.28;25.7;10.03.29;66.1;28.04.29;57.5
27.08.29;239;2030;162;03.07.29;WRA;--------;---;.0;27.08.29;14.1;01.03.30;24.6;24.02.30;66.1
02.10.30;275;2031;181;15.06.30;WW;--------;---;.0;02.10.30;34.2;18.03.31;68.4;01.05.31;63.5
15.03.32;75;2032;187;01.07.31;SG;--------;---;.0;15.03.32;79.6;----------;.0;----------;.0
08.04.33;98;2033;236;06.07.32;SM;--------;---;.0;08.04.33;91.6;21.05.33;65.8;----------;.0
01.10.33;274;2034;180;26.08.33;WW;--------;---;.0;01.10.33;24.0;14.03.34;65.9;05.05.34;57.3
09.09.34;252;2035;160;30.06.34;WRA;--------;---;.0;09.09.34;24.3;01.03.35;55.8;13.02.35;65.2
03.10.35;276;2036;180;15.06.35;WW;--------;---;.0;03.10.35;34.6;01.03.36;68.0;30.04.36;62.6
04.03.37;63;2037;184;30.06.36;SG;--------;---;.0;04.03.37;78.4;----------;.0;----------;.0
06.04.38;96;2038;232;04.07.37;SM;--------;---;.0;06.04.38;85.9;23.05.38;86.6;----------;.0
01.10.38;274;2039;180;21.08.38;WW;--------;---;.0;01.10.38;31.5;10.03.39;68.4;27.04.39;63.0
29.08.39;241;2040;159;30.06.39;WRA;--------;---;.0;29.08.39;29.0;29.02.40;29.3;23.02.40;66.8
01.10.40;275;2041;181;15.06.40;WW;--------;---;.0;01.10.40;33.4;14.03.41;68.1;09.05.41;60.9
18.03.42;77;2042;176;01.07.41;SG;--------;---;.0;18.03.42;79.6;----------;.0;----------;.0
11.04.43;101;2043;239;27.06.42;SM;--------;---;.0;11.04.43;92.2;25.05.43;70.7;----------;.0
07.10.43;280;2044;170;29.08.43;WW;--------;---;.0;07.10.43;26.8;18.03.44;68.1;01.05.44;62.3
05.09.44;249;2045;160;19.06.44;WRA;--------;---;.0;05.09.44;31.4;01.03.45;67.6;08.03.45;36.0
01.10.45;274;2046;177;15.06.45;WW;--------;---;.0;01.10.45;29.9;18.03.46;68.4;28.04.46;63.5
19.03.47;78;2047;173;27.06.46;SG;--------;---;.0;19.03.47;76.5;----------;.0;----------;.0
05.04.48;96;2048;233;24.06.47;SM;--------;---;.0;05.04.48;89.4;22.05.48;89.5;----------;.0
12.10.48;286;2049;166;21.08.48;WW;--------;---;.0;12.10.48;27.3;22.02.49;68.3;11.04.49;61.2
10.09.49;253;2050;161;16.06.49;WRA;--------;---;.0;10.09.49;32.0;01.03.50;36.1;22.02.50;66.6
04.10.50;277;2051;175;15.06.50;WW;--------;---;.0;04.10.50;35.0;02.03.51;68.4;23.04.51;61.5
03.03.52;63;2052;171;25.06.51;SG;--------;---;.0;03.03.52;76.4;----------;.0;----------;.0
12.04.53;102;2053;229;21.06.52;SM;--------;---;.0;12.04.53;88.4;23.05.53;87.8;----------;.0
04.10.53;277;2054;174;18.08.53;WW;--------;---;.0;04.10.53;32.6;13.03.54;68.3;22.04.54;62.3
07.09.54;250;2055;166;24.06.54;WRA;--------;---;.0;07.09.54;34.2;01.03.55;65.1;26.01.55;67.6
07.10.55;280;2056;178;16.06.55;WW;--------;---;.0;07.10.55;34.7;12.03.56;68.4;01.05.56;63.1
01.04.57;91;2057;179;27.06.56;SG;--------;---;.0;01.04.57;66.2;----------;.0;----------;.0
05.04.58;95;2058;234;30.06.57;SM;--------;---;.0;05.04.58;75.2;17.05.58;84.4;----------;.0
03.10.58;276;2059;171;23.08.58;WW;--------;---;.0;----------;.0;21.03.59;68.0;30.04.59;57.7
31.08.59;243;2060;160;21.06.59;WRA;--------;---;.0;31.08.59;6.7;29.02.60;63.6;01.02.60;66.5
01.10.60;275;2061;164;15.06.60;WW;--------;---;.0;01.10.60;31.3;07.03.61;68.4;20.04.61;62.8
19.03.62;78;2062;172;15.06.61;SG;--------;---;.0;19.03.62;79.8;----------;.0;----------;.0
08.04.63;98;2063;231;22.06.62;SM;--------;---;.0;08.04.63;79.8;28.05.63;85.8;----------;.0
01.10.63;274;2064;165;20.08.63;WW;--------;---;.0;01.10.63;23.2;29.02.64;67.8;23.04.64;61.5
10.09.64;254;2065;169;15.06.64;WRA;--------;---;.0;----------;.0;01.03.65;65.8;29.01.65;65.7
10.10.65;283;2066;166;19.06.65;WW;--------;---;.0;10.10.65;34.7;24.02.66;68.3;27.04.66;60.5
08.03.67;67;2067;159;16.06.66;SG;--------;---;.0;08.03.67;80.2;----------;.0;----------;.0
05.04.68;96;2068;220;15.06.67;SM;--------;---;.0;05.04.68;81.4;17.05.68;57.4;----------;.0
02.10.68;276;2069;170;08.08.68;WW;--------;---;.0;----------;.0;13.03.69;68.4;22.04.69;57.6
10.09.69;253;2070;156;21.06.69;WRA;--------;---;.0;10.09.69;31.8;01.03.70;60.9;29.01.70;66.7
03.10.70;276;2071;171;15.06.70;WW;--------;---;.0;03.10.70;34.8;28.02.71;68.4;20.04.71;62.2
05.03.72;65;2072;174;21.06.71;SG;--------;---;.0;05.03.72;74.5;----------;.0;----------;.0
05.04.73;95;2073;217;24.06.72;SM;--------;---;.0;05.04.73;90.3;12.05.73;57.0;----------;.0
11.10.73;284;2074;167;06.08.73;WW;--------;---;.0;11.10.73;23.1;15.03.74;66.3;23.04.74;61.7
10.09.74;253;2075;148;18.06.74;WRA;--------;---;.0;----------;.0;01.03.75;47.7;03.02.75;64.4
08.10.75;281;2076;158;15.06.75;WW;--------;---;.0;08.10.75;32.9;28.02.76;68.4;15.04.76;62.8
25.02.77;56;2077;162;15.06.76;SG;--------;---;.0;25.02.77;66.4;----------;.0;----------;.0
05.04.78;95;2078;216;15.06.77;SM;--------;---;.0;05.04.78;89.7;14.05.78;53.6;----------;.0
01.10.78;274;2079;167;05.08.78;WW;--------;---;.0;01.10.78;34.1;08.03.79;68.4;21.04.79;64.3
07.09.79;250;2080;154;18.06.79;WRA;--------;---;.0;07.09.79;23.7;29.02.80;62.3;24.01.80;66.2
